0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
20-01-0050-43,20-020,CHIQUIMULA,CHIQUIMULA,EORM,ALDEA HACIENDA EL SANTO,59450558,CESAR HELAMAN GARCIA LOPEZ,ANGEL ARMANDO GUANCÍN SANCÉ,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),CHIQUIMULA
20-01-0051-43,20-023,CHIQUIMULA,CHIQUIMULA,EORM,ALDEA LA CATOCHA,32436040,VALESKA LILIAM ESPERANZA ARGUETA REYES,IRVIN KELER NOVA POSADAS,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),CHIQUIMULA
20-01-0052-43,20-028,CHIQUIMULA,CHIQUIMULA,EORM,ALDEA EL INGENIERO,41607629,LUIS GUSTAVO SAGASTUME CONTRERAS,VILMA GISELA ESPANA ALARCON,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),CHIQUIMULA
20-01-0054-43,20-010,CHIQUIMULA,CHIQUIMULA,EORM,ALDEA SANTA ELENA,51297060,MERY ELISABET CALDERON CASTILLO,ALEX JOEL CORONADO LOPEZ,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),CHIQUIMULA
20-01-0055-43,20-020,CHIQUIMULA,CHIQUIMULA,EORM LUCAS ANTONIO CUEVAS,ALDEA SHUSHO ARRIBA,30355935,CESAR HELAMAN GARCIA LOPEZ,MERCEDES DEL CARMEN MORALES Y MORALES,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),CHIQUIMULA
20-01-0056-43,20-023,CHIQUIMULA,CHIQUIMULA,EORM PROFESORA MARIA OCTAVILA GUTIERREZ DE ESPAÑA,ALDEA SHORORAGUA,50373500,VALESKA LILIAM ESPERANZA ARGUETA REYES,WILLIAM ALEXANDER SANCÉ ESQUIVEL,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),CHIQUIMULA
20-01-0057-43,20-010,CHIQUIMULA,CHIQUIMULA,EORM PROFESOR DE ENSEÑANZA MEDIA ERNESTO DE JESUS SAGASTUME GUERRA,ALDEA VADO HONDO,42772793,MERY ELISABET CALDERON CASTILLO,MARÍA ISABEL CALDERÓN MEDRANO,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),CHIQUIMULA
20-01-0058-43,20-028,CHIQUIMULA,CHIQUIMULA,EORM,ALDEA EL MORRAL,45853094,LUIS GUSTAVO SAGASTUME CONTRERAS,AMY ROSA ALICIA MORALES ESPAÑA,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),CHIQUIMULA
20-01-0059-43,20-028,CHIQUIMULA,CHIQUIMULA,EORM MARIA CHINCHILLA,ALDEA PETAPILLA,52463442,LUIS GUSTAVO SAGASTUME CONTRERAS,ALEXIS RIGOBERTO MÉNDEZ HERNÁNDEZ,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),CHIQUIMULA
20-01-0060-43,20-020,CHIQUIMULA,CHIQUIMULA,EORM HECTOR MANUEL VASQUEZ,ALDEA MARAXCO,51221404,CESAR HELAMAN GARCIA LOPEZ,MARINA ESPERANZA PAREDES CETINO,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),CHIQUIMULA
