CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
09-03-0768-41,09-010,QUETZALTENANGO,OLINTEPEQUE,COPB ANEXO A EOUM FIDEL E. RODAS,"KILÓMETRO CUATRO Y MEDIO 0-26, CARRETERA A OLINTEPEQUE",,URSULO ROSARIO MAZARIEGOS CIFUENTES,VINICIO JOSUÉ BARRIOS DE LEÓN,PREPRIMARIA BILINGUE,OFICIAL,URBANA,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),QUETZALTENANGO
09-04-0016-41,09-011,QUETZALTENANGO,SAN CARLOS SIJA,COPB ANEXO A EORM,ALDEA SAN JOSE CHICALQUIX,49139076,WILFREDO PIOX TECÚ,VENERANDA MICAELA ORDOÑEZ PAXTOR,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),QUETZALTENANGO
09-04-0026-41,09-011,QUETZALTENANGO,SAN CARLOS SIJA,COPB ANEXO A EORM,CASERIO LOS MOSQUITOS,40266864,WILFREDO PIOX TECÚ,MARTHA CLEMENTINA MALDONADO ORDOÑEZ,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),QUETZALTENANGO
09-04-0036-41,09-043,QUETZALTENANGO,SAN CARLOS SIJA,COPB ANEXO A EORM,"PARAJE LA UNION, ALDEA SAN FRACISCO CHUATUJ",30951217,BLANCA LIDIA DE LEON DIAZ,MARIA CLEOTILDA VASQUEZ VASQUEZ,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),QUETZALTENANGO
09-04-0040-41,09-043,QUETZALTENANGO,SAN CARLOS SIJA,COPB ANEXA A EORM,ALDEA CHIQUIVAL,33432729,BLANCA LIDIA DE LEON DIAZ,EMILIANA ORDÓÑEZ PÉREZ,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),QUETZALTENANGO
09-04-0050-41,09-011,QUETZALTENANGO,SAN CARLOS SIJA,COPB,"CASERÍO LA CUMBRE, ALDEA NUEVO SAN ANTONIO",54898887,WILFREDO PIOX TECÚ,ROCIO ELIZABETH BARRIOS DOMINGO,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),QUETZALTENANGO
09-04-0191-41,09-043,QUETZALTENANGO,SAN CARLOS SIJA,COPB ANEXO A EORM,ALDEA CALEL,49504883,BLANCA LIDIA DE LEON DIAZ,ELENA FILOMEÑIA PÉREZ PÉREZ,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),QUETZALTENANGO
09-04-0192-41,09-011,QUETZALTENANGO,SAN CARLOS SIJA,COPB ANEXO A EORM,ALDEA SAN FRANCISCO CHUATUJ,,WILFREDO PIOX TECÚ,ALIDA YOMARA DIAZ GARCIA,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),QUETZALTENANGO
09-04-0769-41,09-011,QUETZALTENANGO,SAN CARLOS SIJA,COPB ANEXO A EORM,ALDEA ESQUIPULAS SEQUE,50194076,WILFREDO PIOX TECÚ,RUBI GLADYS DE LEÓN Y DE LEÓN DE SANTOS,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),QUETZALTENANGO
09-06-0004-41,09-015,QUETZALTENANGO,CABRICAN,COPB ANEXA A EORM,CASERIO RINCON ALEGRE ALDEA LOS CORRALES,40942990,DOMINGO ENRIQUE RAMIREZ MENDEZ,ELVI YOBANI LÓPEZ RÍOS,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),QUETZALTENANGO
09-06-0026-41,09-015,QUETZALTENANGO,CABRICAN,COPB ANEXA A EORM,CASERIO LA LIBERTAD ALDEA XACANA,55037604,DOMINGO ENRIQUE RAMIREZ MENDEZ,LUIS FERNANDO LÓPEZ ALVAREZ,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),QUETZALTENANGO
09-06-0027-41,09-014,QUETZALTENANGO,CABRICAN,COPB ANEXA A EORM,CASERIO EL MIRADOR XUX,57823704,ELI RICARDO PEREZ ROJAS,BAIRON SAUL MÉNDEZ LÓPEZ,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),QUETZALTENANGO
09-06-0028-41,09-014,QUETZALTENANGO,CABRICAN,COPB ANEXA A EORM,"CASERIO LOS ROJAS, ALDEA BUENA VISTA EL CERRO",53277453,ELI RICARDO PEREZ ROJAS,PEDRO ISRAEL RAMOS RAMIREZ,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),QUETZALTENANGO
09-06-0029-41,09-015,QUETZALTENANGO,CABRICAN,COPB ANEXA A EORM,CASERIO LOS LOPEZ ALDEA CHORJALE,59982434,DOMINGO ENRIQUE RAMIREZ MENDEZ,MARIO ABEL RAMÍREZ Y RAMÍREZ,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),QUETZALTENANGO
09-06-0037-41,09-014,QUETZALTENANGO,CABRICAN,COPB ANEXO A EORM,"CASERIO LA VEGA, ALDEA BUENA VISTA EL CERRO",53699655,ELI RICARDO PEREZ ROJAS,ESAU SAMUEL LOPEZ RIOS,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),QUETZALTENANGO
09-06-0038-41,09-014,QUETZALTENANGO,CABRICAN,COPB ANEXO A EORM,CASERÍO EL CEBOLLÍN ALDEA LAS VENTANAS,40503584,ELI RICARDO PEREZ ROJAS,MARÍA ESTHELA LUCAS PÉREZ,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),QUETZALTENANGO
09-06-0254-41,09-014,QUETZALTENANGO,CABRICAN,COPB ANEXA A EORM,ALDEA LAS CIENAGAS,46475311,ELI RICARDO PEREZ ROJAS,ROLANDO DOMINGO BATEN Y BATEN,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),QUETZALTENANGO
09-06-2634-41,09-014,QUETZALTENANGO,CABRICAN,COPB ANEXA A EORM,ALDEA CIENAGA CHIQUITA,,ELI RICARDO PEREZ ROJAS,FRANCISCO JAVIER LÓPEZ RAMOS,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),QUETZALTENANGO
09-06-2668-41,09-015,QUETZALTENANGO,CABRICAN,COPB ANEXO A EORM,ALDEA LOS CORRALES,59954820,DOMINGO ENRIQUE RAMIREZ MENDEZ,SAMUEL MOISÉS PÉREZ RAMÍREZ,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),QUETZALTENANGO
09-06-2669-41,09-014,QUETZALTENANGO,CABRICAN,COPB,ALDEA LAS VENTANAS,,ELI RICARDO PEREZ ROJAS,EMILIANA ISABEL ROJAS ESCALANTE,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),QUETZALTENANGO
09-06-2670-41,09-014,QUETZALTENANGO,CABRICAN,COPB ANEXA A EORM,ALDEA EL CERRO,46912125,ELI RICARDO PEREZ ROJAS,JUAN MOISÉS ROJAS BATEN,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),QUETZALTENANGO
09-06-2846-41,09-015,QUETZALTENANGO,CABRICAN,COPB ANEXO A EORM,ALDEA CHORJALE,33360489,DOMINGO ENRIQUE RAMIREZ MENDEZ,ESMERALDA OLIVIA DE LEÓN LÓPEZ,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),QUETZALTENANGO
09-06-2847-41,09-015,QUETZALTENANGO,CABRICAN,COPB ANEXA A EORM,ALDEA LA GRANDEZA,36303095,DOMINGO ENRIQUE RAMIREZ MENDEZ,FERNANDO LÓPEZ JÍGUAN,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),QUETZALTENANGO
09-06-3379-41,09-014,QUETZALTENANGO,CABRICAN,COPB ANEXA A EORM,ALDEA QUIQUIBAJ,40665898,ELI RICARDO PEREZ ROJAS,ESTUARDO RENÉ DE LEÓN CIFUENTES,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),QUETZALTENANGO
09-06-3380-41,09-014,QUETZALTENANGO,CABRICAN,COPB ANEXA A EORM,CASERIO CHAMEL,,ELI RICARDO PEREZ ROJAS,NOHE ISRAEL ALVAREZ PEREZ,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),QUETZALTENANGO
09-06-3381-41,09-015,QUETZALTENANGO,CABRICAN,COPB ANEXA A EORM,CASERIO SAN ANTONIO CORRALES,53760525,DOMINGO ENRIQUE RAMIREZ MENDEZ,ARTEMIO RAÚL PÉREZ Y PÉREZ,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),QUETZALTENANGO
09-06-3382-41,09-015,QUETZALTENANGO,CABRICAN,COPB ANEXA A EORM,ALDEA XACANA,,DOMINGO ENRIQUE RAMIREZ MENDEZ,BAGNER ROSALÍO AGUILAR LÓPEZ,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),QUETZALTENANGO
09-06-3822-41,09-015,QUETZALTENANGO,CABRICAN,CPPB ANEXO A COLEGIO PRIVADO 'LA ASUNCION',CABRICAN,77683620,DOMINGO ENRIQUE RAMIREZ MENDEZ,LILIA VERONICA NAUE,PREPRIMARIA BILINGUE,PRIVADO,URBANA,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),QUETZALTENANGO
09-07-0001-41,09-016,QUETZALTENANGO,CAJOLA,COPB ANEXO A EORM,"CASERIO LA CUMBRE, CANTON XETALBILJOJ",55390609,MARIO RENE PEREZ LOPEZ,JUAN CARLOS HUINIL ALONZO,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),QUETZALTENANGO
09-07-0002-41,09-016,QUETZALTENANGO,CAJOLA,COPB ANEXO A EORM,CASERIO LOS MOLINA CANTON XECOL,48450744,MARIO RENE PEREZ LOPEZ,SANTOS GENARO PÉREZ HUINIL,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),QUETZALTENANGO
09-07-0006-41,09-016,QUETZALTENANGO,CAJOLA,COPB ANEXO A EORM,CASERIO LOS VASQUEZ Y HUINILES,58944583,MARIO RENE PEREZ LOPEZ,ELVA MOLINA VAÍL,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),QUETZALTENANGO
09-07-0015-41,09-016,QUETZALTENANGO,CAJOLA,COPB ANEXO A EORM,"SECTOR UNO, CASERÍO LA CIÉNAGA",33369312,MARIO RENE PEREZ LOPEZ,CARMEN VERÓNICA VICENTE ALONZO,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),QUETZALTENANGO
09-07-0278-41,09-016,QUETZALTENANGO,CAJOLA,"COPB ANEXO A EORM ""DR. ARMANDO SÁNCHEZ MONTES""",CANTON XECOL,59471206,MARIO RENE PEREZ LOPEZ,AROLDO RALDA JUÁREZ,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),QUETZALTENANGO
09-07-0279-41,09-016,QUETZALTENANGO,CAJOLA,COPB ANEXO A EORM,CANTON XETALBIJOJ,57340136,MARIO RENE PEREZ LOPEZ,WILFREDO ABIMAEL JIMENEZ ESCOBAR,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),QUETZALTENANGO
09-07-0280-41,09-016,QUETZALTENANGO,CAJOLA,"COPB ANEXO A EOUM ""25 DE JUNIO""",CENTRO,33161513,MARIO RENE PEREZ LOPEZ,SEBASTIÁN PÉREZ LÓPEZ,PREPRIMARIA BILINGUE,OFICIAL,URBANA,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),QUETZALTENANGO
09-07-0770-41,09-016,QUETZALTENANGO,CAJOLA,COPB ANEXO A EORM,ALDEA CAJOLA CHIQUITO,44263914,MARIO RENE PEREZ LOPEZ,EDGAR ESTUARDO VAÍL HERNÁNDEZ,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),QUETZALTENANGO
09-07-2897-41,09-016,QUETZALTENANGO,CAJOLA,COPB ANEXO EORM,CASERIO LOS DIAZ,49146852,MARIO RENE PEREZ LOPEZ,MARVIN WILFREDO MARROQUÍN NIMATUJ,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),QUETZALTENANGO
09-07-2907-41,09-016,QUETZALTENANGO,CAJOLA,COPB ANEXO EORM,CASERIO LA CRUZ,48896958,MARIO RENE PEREZ LOPEZ,HUGO FILADELFO VÁSQUEZ DÍAZ,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),QUETZALTENANGO
09-08-0001-41,09-016,QUETZALTENANGO,SAN MIGUEL SIGUILA,COPB ANEXO A EORM,SECTOR UNO (I) ALDEA LA EMBOSCADA,57704630,MARIO RENE PEREZ LOPEZ,AURA ARACELY MORALES CALDERON,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),QUETZALTENANGO
09-08-0285-41,09-016,QUETZALTENANGO,SAN MIGUEL SIGUILA,COPB ANEXO EORM DR. CARLOS MONZON MALICE,ALDEA LA EMBOSCADA,47996957,MARIO RENE PEREZ LOPEZ,ELISAMA SUNAMITA ROSALES PÉREZ,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),QUETZALTENANGO
09-08-0286-41,09-016,QUETZALTENANGO,SAN MIGUEL SIGUILA,COPB ANEXO A EOUM JUSTO RUFINO BARRIOS,"CENTRO, SAN MIGUEL SIGUILA",55295903,MARIO RENE PEREZ LOPEZ,JUAN FRANCISCO SÁNCHEZ LÓPEZ,PREPRIMARIA BILINGUE,OFICIAL,URBANA,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),QUETZALTENANGO
09-08-2893-41,09-016,QUETZALTENANGO,SAN MIGUEL SIGUILA,COPB ANEXO A EORM,ALDEA EL LLANO,32021726,MARIO RENE PEREZ LOPEZ,ISRAEL LÓPEZ JIMÉNEZ,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),QUETZALTENANGO
09-08-2899-41,09-016,QUETZALTENANGO,SAN MIGUEL SIGUILA,COPB ANEXA A EORM,ALDEA LA CIENAGA,33893053,MARIO RENE PEREZ LOPEZ,ROCIO DE LOURDES HERNÁNDEZ ROMERO,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),QUETZALTENANGO
09-09-0006-41,09-018,QUETZALTENANGO,SAN JUAN OSTUNCALCO,COPB ANEXO A EORM,"CASERÍO LOS PÉREZ, ALDEA LA ESPERANZA",46044829,GUILLERMO ANTONIO DEL VALLE MONTERROSO,ANABELLA VICTORIA PÉREZ MONTERROSO,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),QUETZALTENANGO
09-09-0007-41,09-018,QUETZALTENANGO,SAN JUAN OSTUNCALCO,COPB ANEXA A EORM,ALDEA LAS GRANADILLAS,30097871,GUILLERMO ANTONIO DEL VALLE MONTERROSO,OBDULIO LÓPEZ ROMERO,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),QUETZALTENANGO
09-09-0008-41,09-018,QUETZALTENANGO,SAN JUAN OSTUNCALCO,COPB ANEXO A EORM,CASERIO CHANSHENEL ALDEA LA ESPERANZA,57328125,GUILLERMO ANTONIO DEL VALLE MONTERROSO,JUAN ALBERTO LÓPEZ GONZALEZ,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),QUETZALTENANGO
09-09-0009-41,09-017,QUETZALTENANGO,SAN JUAN OSTUNCALCO,COPB ANEXO A EORM,BARRIO EL CALVARIO,47658861,JAIME IVAN GODINEZ VELASQUEZ,MILTÓN ISAAC GÓMEZ GARCÍA,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),QUETZALTENANGO
09-09-0047-41,09-017,QUETZALTENANGO,SAN JUAN OSTUNCALCO,COPB ANEXO A EORM,"SECTOR CRUZ DE CANAK, ALDEA NUEVA CONCEPCIÓN",48683593,JAIME IVAN GODINEZ VELASQUEZ,ALBINA GERARDA JUAREZ FUENTES,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),QUETZALTENANGO
09-09-0055-41,09-017,QUETZALTENANGO,SAN JUAN OSTUNCALCO,COPB ANEXA A EORM,"SECTOR EL MANANTIAL, ALDEA LA VICTORIA",46084770,JAIME IVAN GODINEZ VELASQUEZ,MARIO MARROQUÍN FUENTES,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),QUETZALTENANGO
09-09-0057-41,09-018,QUETZALTENANGO,SAN JUAN OSTUNCALCO,COPB ANEXO A EORM,CASERIO LA CUMBRE ALDEA LA ESPERANZA,33311922,GUILLERMO ANTONIO DEL VALLE MONTERROSO,NORMA SILVIA VÁSQUEZ MÉNDEZ,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),QUETZALTENANGO
09-09-0060-41,09-018,QUETZALTENANGO,SAN JUAN OSTUNCALCO,COPB ANEXA A EORM,"CASERIO LOS JUAREZ, ALDEA LA ESPERANZA",47263775,GUILLERMO ANTONIO DEL VALLE MONTERROSO,JOSUÉ MARDOQUEO LOAYES GÓMEZ,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),QUETZALTENANGO
09-09-0249-41,09-018,QUETZALTENANGO,SAN JUAN OSTUNCALCO,ESCUELA OFICIAL URBANA MIXTA DE PARVULOS Y PREPRIMARIA BILINGUE,6A. AVENIDA 3-04 ZONA 1,77686385,GUILLERMO ANTONIO DEL VALLE MONTERROSO,MIRIAM ARACELY BARRIOS GRAMAJO,PREPRIMARIA BILINGUE,OFICIAL,URBANA,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),QUETZALTENANGO
