0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
21-01-0240-45,21-005,JALAPA,JALAPA,INEB DE TELESECUNDARIA,"CASERÍO PATA GALANA, ALDEA SASHICO",55650858,THELMA YANETH POLANCO PEREZ DE CAMEY,VILMA NINETH SALAZAR LINARES,BASICO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),JALAPA
21-01-0241-45,21-022,JALAPA,JALAPA,INSTITUTO DE TELESECUNDARIA,ALDEA EL AGUACATE,59237817,LESBIA LETICIA SOLIS LIMA DE LEON,WUALY GAMALIEL JIMÉNEZ Y JIMÉNEZ,BASICO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),JALAPA
21-01-0242-45,21-022,JALAPA,JALAPA,INSTITUTO DE TELESECUNDARIA,ALDEA BUENA VISTA,31047666,LESBIA LETICIA SOLIS LIMA DE LEON,MYNOR EDUARDO SALAZAR RAMOS,BASICO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),JALAPA
21-01-0243-45,21-022,JALAPA,JALAPA,INSTITUTO DE TELESECUNDARIA,"CASERIO LOS LÓPEZ, ALDEA EL PARAÍSO",53718727,LESBIA LETICIA SOLIS LIMA DE LEON,JOHNNY ALFONSO FAJARDO FUENTES,BASICO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),JALAPA
21-01-0244-45,21-017,JALAPA,JALAPA,INEB DE TELESECUNDARIA,"CASERÍO EL TERRERO, ALDEA ACHIOTES JUMAY",48784155,MANUEL DANILO REYES GONZALEZ,MAYRA JUDITH GÓMEZ MEJÍA,BASICO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),JALAPA
21-01-0245-45,21-005,JALAPA,JALAPA,INSTITUTO DE TELESECUNDARIA,ALDEA HIERBA BUENA,31225492,THELMA YANETH POLANCO PEREZ DE CAMEY,NIDIA MARISSELA HERNÁNDEZ GONZÁLEZ,BASICO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),JALAPA
21-01-0246-45,21-004,JALAPA,JALAPA,"COLEGIO PARTICULAR MIXTO DE EDUCACION BASICA ""EDUCARE""","6A. AV. 0-67 ZONA 5, BARRIO SAN FRANCISCO",51948259,VICTOR MANUEL PORTILLO RECINOS,DORA ISABEL ELÍAS,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),JALAPA
21-01-0254-45,21-004,JALAPA,JALAPA,"COLEGIO ""SAGRADO CORAZON""","3RA. CALLE 2-47 ZONA 2, BARRIO SAN FRANCISCO",79227638,VICTOR MANUEL PORTILLO RECINOS,FRANCISCO AUGUSTO CARRILLO HERNÁNDEZ,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,JALAPA
21-01-0265-45,21-004,JALAPA,JALAPA,INSTITUTO ACTIVO BILINGUE NUEVA GUATEMALA,CALLE TRANSITO ROJAS B 0-44 ZONA 6 BARRIO LA ESPERANZA,79225832,VICTOR MANUEL PORTILLO RECINOS,MARTA LIDIA FUENTES LIMA,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),JALAPA
21-01-0274-45,21-004,JALAPA,JALAPA,"COLEGIO PARTICULAR MIXTO ""LICEO JALAPA""",CALLE TRÁNSITO ROJAS 7-79 ZONA 1 BARRIO LA DEMOCRACIA,79220013,VICTOR MANUEL PORTILLO RECINOS,LESLY PRISCILA CARRERA RUÍZ,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),JALAPA
