0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
07-01-0018-41,07-002,SOLOLA,SOLOLA,COPB ANEXO A EORM,"CASERIO CHUACORRAL, ALDEA PIXABAJ",45188040,CARLOS RIGOBERTO POS TUY,DIEGO TUIS TUY,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),SOLOLÁ
07-01-0019-41,07-004,SOLOLA,SOLOLA,COPB ANEXO A EORM,"CASERIO LOS YAXON, ALDEA CHAQUIJYA",54859552,VÍCTOR MIGUEL MENCHÚ MENCHÚ,YOLANDA CHIROY BOCEL,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),SOLOLÁ
07-01-0021-41,07-003,SOLOLA,SOLOLA,COPB ANEXO A EORM,CASERIO LOS CHURUNELES I ALDEA PUJUJIL II,,VÍCTOR CHUMIL CHIROY,JUAN CARLOS SOLARES SALOJ,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),SOLOLÁ
07-01-0022-41,07-003,SOLOLA,SOLOLA,COPB ANEXO A EORM,"CASERIO XIBALBAY, CANTON CHAQUIJYA",47875775,VÍCTOR CHUMIL CHIROY,SIMEÓN CHUMIL CHUMIL,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),SOLOLÁ
07-01-0023-41,07-004,SOLOLA,SOLOLA,COPB ANEXO A EORM,ALDEA CHUIQUEL,50625727,VÍCTOR MIGUEL MENCHÚ MENCHÚ,MARIO COSIGUÁ CHUMIL,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),SOLOLÁ
07-01-0024-41,07-004,SOLOLA,SOLOLA,COPB ANEXO A EORM,ALDEA ARGUETA,56361381,VÍCTOR MIGUEL MENCHÚ MENCHÚ,OBISPO GREGORIO PECH TAX,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),SOLOLÁ
07-01-0025-41,07-004,SOLOLA,SOLOLA,COPB ANEXO A EORM,ALDEA MARÍA TECÚN ALAYO,30240723,VÍCTOR MIGUEL MENCHÚ MENCHÚ,JUAN ALFONSO ROSALES TAHAY,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),SOLOLÁ
07-01-0026-41,07-002,SOLOLA,SOLOLA,COPB ANEXO A EORM,ALDEA LOS ENCUENTROS,51905771,CARLOS RIGOBERTO POS TUY,EVELING DAMARY DE LEÓN CORDERO,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),SOLOLÁ
07-01-0027-41,07-002,SOLOLA,SOLOLA,COPB ANEXO A EORM,"CASERIO PAQUISIS, ALDEA PIXABAJ",53580817,CARLOS RIGOBERTO POS TUY,NERY OSWALDO JULAJUJ PILÓ,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),SOLOLÁ
07-01-0028-41,07-003,SOLOLA,SOLOLA,COPB ANEXO A EORM,CASERIO LOS CHURUNELES II ALDEA PUJUJIL II,,VÍCTOR CHUMIL CHIROY,AURA MARINA MENDOZA AJÚ,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),SOLOLÁ
07-01-0064-41,07-002,SOLOLA,SOLOLA,COPB ANEXO A EORM,"CASERIO VALLE DEL NORTE, ALDEA PUJUJIL II",45006161,CARLOS RIGOBERTO POS TUY,FELIPA SALOJ GÜIT,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),SOLOLÁ
07-01-0072-41,07-002,SOLOLA,SOLOLA,COPB,CASERIO LA ESPERANZA CANTON PUJUJIL II,49627755,CARLOS RIGOBERTO POS TUY,JESUS MARIA AJCALON GARCIA,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),SOLOLÁ
07-01-0073-41,07-001,SOLOLA,SOLOLA,COPB,"CASERÍO BUENA VISTA, CANTÓN SACSIGUÁN",41128416,BENJAMÍN ELÍAS IXCAMPARIC SOSA,CELESTINA NOHEMÍ YAX XAMINES,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),SOLOLÁ
