0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
16-01-0391-45,16-031,ALTA VERAPAZ,COBAN,COLEGIO PRIVADO MIXTO TECNOLÓGICO EN INFORMÁTICA,"2A. CALLE 12-23, ZONA 4",79511459,PATRICIO NAJARRO ASENCIO,JORGE SALVADOR JUÁREZ SIERRA,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-01-0395-45,16-035,ALTA VERAPAZ,COBAN,INEB DE TELESECUNDARIA,COMUNIDAD NIMLASACHAL,33423152,MARBIN ARIEL CHOC CAAL,SALOMON TENI,BASICO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-01-0397-45,16-034,ALTA VERAPAZ,COBAN,INEB DE TELESECUNDARIA,ALDEA MONTE OLIVO,,FELIPE CHO TUT,JOSE MAAZ CHOC,BASICO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-01-0398-45,16-005,ALTA VERAPAZ,COBAN,INEB DE TELESECUNDARIA,COMUNIDAD CHIRRETZAAJ,48947997,NORA LILIANA FIGUEROA HERNÁNDEZ,HENRY WILSON REYES LUNA,BASICO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-01-0400-45,16-004,ALTA VERAPAZ,COBAN,INEB DE TELESECUNDARIA,ALDEA RIO TZETOC,57162409,AQUILES GIOVANI BAC GUEVARA,JOSÉ ALEJANDRO YALIBAT FLORES,BASICO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-01-0402-45,16-002,ALTA VERAPAZ,COBAN,INEB DE TELESECUNDARIA,ALDEA SAN PABLO XUCANEB,52027454,MOISES ADRIAN LOPEZ PEREZ,ARMANDO POP ICÓ,BASICO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-01-0403-45,16-004,ALTA VERAPAZ,COBAN,INEB DE TELESECUNDARIA,ALDEA SAN JOSE ICBOLAY,40418805,AQUILES GIOVANI BAC GUEVARA,EDUARDO YAT CÚ,BASICO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-01-0404-45,16-004,ALTA VERAPAZ,COBAN,INEB DE TELESECUNDARIA,ALDEA SAHOLOM,45398450,AQUILES GIOVANI BAC GUEVARA,RUDY ELEODORO MAX XOL,BASICO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-01-0405-45,16-034,ALTA VERAPAZ,COBAN,INEB DE TELESECUNDARIA,"COMUNIDAD LA SULTANA,",49073880,FELIPE CHO TUT,NAYIVELIN ALEJANDRA FIGUEROA REY,BASICO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-01-0407-45,16-005,ALTA VERAPAZ,COBAN,INEB,ALDEA SIGUANHA,50663807,NORA LILIANA FIGUEROA HERNÁNDEZ,SILVIA ESTELA ORTÍZ PINEDA,BASICO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),ALTA VERAPAZ
