CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
13-26-1204-43,13-044,HUEHUETENANGO,SANTA CRUZ BARILLAS,"COLEGIO PARROQUIAL MIXTO ""SANTA CRUZ""",1A. AVENIDA 1-21 ZONA 1,77802613,JUANA ALONZO TOMÁS,FELIPA CRISTÓBAL MEJÍA,PRIMARIA,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),HUEHUETENANGO
13-26-1205-43,13-044,HUEHUETENANGO,SANTA CRUZ BARILLAS,EORM,CASERIO SANTA ROSA,51920735,JUANA ALONZO TOMÁS,GLENDY CAROLINA ZEA GARCÍA,PRIMARIA,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),HUEHUETENANGO
13-26-1206-43,13-046,HUEHUETENANGO,SANTA CRUZ BARILLAS,EORM,CASERIO SAN GERONIMO,,NELVIN EZEQUIEL CASTILLO LÓPEZ,MICAELA TOLEDO SEBASTIÁN,PRIMARIA,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),HUEHUETENANGO
13-26-1207-43,13-044,HUEHUETENANGO,SANTA CRUZ BARILLAS,EORM,CASERIO LAS BRISAS,37209162,JUANA ALONZO TOMÁS,JULIA EMANUELA VILLANUEVA AGUSTIN,PRIMARIA,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),HUEHUETENANGO
13-26-1208-43,13-046,HUEHUETENANGO,SANTA CRUZ BARILLAS,EORM,CASERIO JOLOMCU,45827947,NELVIN EZEQUIEL CASTILLO LÓPEZ,DORIS YESENI RAMÍREZ SOSA,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),HUEHUETENANGO
13-26-1209-43,13-059,HUEHUETENANGO,SANTA CRUZ BARILLAS,EORM,ALDEA JOLOMQUEM IXCAN GRANDE,40447393,DIEGO FRANCISCO JUAN,ELMA DINORA MONZÓN ALVARADO,PRIMARIA,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),HUEHUETENANGO
13-26-1210-43,13-045,HUEHUETENANGO,SANTA CRUZ BARILLAS,EORM,PARCELAMIENTO LA SOLEDAD,58013236,AMILCAR JESÚS CASTAÑEDA CHAMPET,MARÍA ELENA MUÑOZ MORALES,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),HUEHUETENANGO
13-26-1211-43,13-045,HUEHUETENANGO,SANTA CRUZ BARILLAS,EORM,CASERIO BUENA VISTA ALDEA JOLOMTAJ,,AMILCAR JESÚS CASTAÑEDA CHAMPET,ALBERTO ESTUARDO REYES ALVARADO,PRIMARIA,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),HUEHUETENANGO
13-26-1212-43,13-045,HUEHUETENANGO,SANTA CRUZ BARILLAS,EORM,CASERIO LAS VICTORIAS AMELCO,45238413,AMILCAR JESÚS CASTAÑEDA CHAMPET,LUDWIN WILLIAM CASTAÑEDA MARTÍNEZ,PRIMARIA,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),HUEHUETENANGO
13-26-1213-43,13-044,HUEHUETENANGO,SANTA CRUZ BARILLAS,EORM DR. MARIANO GALVEZ,CASERIO RIO ESPIRITU,53269699,JUANA ALONZO TOMÁS,ALBRICIA RAMIREZ PABLO DE FRANCISCO,PRIMARIA,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),HUEHUETENANGO
13-26-1215-43,13-046,HUEHUETENANGO,SANTA CRUZ BARILLAS,EORM,CASERIO QUECCHOCH ALDEA EL QUETZAL,50646123,NELVIN EZEQUIEL CASTILLO LÓPEZ,GLORIA AMERICA GORDILLO NORIEGA,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),HUEHUETENANGO
13-26-1216-43,13-059,HUEHUETENANGO,SANTA CRUZ BARILLAS,EORM,CASERIO QUEK´ZAT ALDEA SAN RAMON,45353901,DIEGO FRANCISCO JUAN,ALVARO GUZMAN LORENZO LUCAS,PRIMARIA,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),HUEHUETENANGO
13-26-1217-43,13-045,HUEHUETENANGO,SANTA CRUZ BARILLAS,EORM,CASERIO NUEVA AMERICA ALDEA JOLOMTAJ,50681583,AMILCAR JESÚS CASTAÑEDA CHAMPET,GLENDA ELIZABETH ALVARADO SERRANO,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),HUEHUETENANGO
13-26-1218-43,13-044,HUEHUETENANGO,SANTA CRUZ BARILLAS,EORM,CASERÍO OJO DE AGUA SAN RAMÓN,48884153,JUANA ALONZO TOMÁS,MARGARITO RAMOS FRANCISCO,PRIMARIA,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),HUEHUETENANGO
13-26-1219-43,13-059,HUEHUETENANGO,SANTA CRUZ BARILLAS,EORM,ALDEA MONTE CRISTO,31013939,DIEGO FRANCISCO JUAN,VICTOR HUGO DIEGO MANUEL,PRIMARIA,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),HUEHUETENANGO
13-26-1221-43,13-059,HUEHUETENANGO,SANTA CRUZ BARILLAS,EORM,CASERIO LAS MARAVILLAS ALDEA CANCHOCH,46182585,DIEGO FRANCISCO JUAN,JENNIFER ANAJANCY CASTAÑEDA VILLATORO,PRIMARIA,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),HUEHUETENANGO
13-26-1222-43,13-046,HUEHUETENANGO,SANTA CRUZ BARILLAS,EORM,CASERIO YULA IXMULA ALDEA EL QUETZAL,48231505,NELVIN EZEQUIEL CASTILLO LÓPEZ,PEDRO MATEO SIMÓN,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),HUEHUETENANGO
13-26-1223-43,13-044,HUEHUETENANGO,SANTA CRUZ BARILLAS,EORM,ALDEA TRES RANCHOS,49050805,JUANA ALONZO TOMÁS,ARMIN OTTONIEL FRANCISCO FRANCISCO,PRIMARIA,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),HUEHUETENANGO
13-26-1225-43,13-046,HUEHUETENANGO,SANTA CRUZ BARILLAS,COLEGIO EVANGELICO BEREA,VILLA DE BARILLAS,77802148,NELVIN EZEQUIEL CASTILLO LÓPEZ,NESTOR DONALDO CASTAÑEDA ARGUETA,PRIMARIA,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),HUEHUETENANGO
13-26-1226-43,13-047,HUEHUETENANGO,SANTA CRUZ BARILLAS,EORM,CASERIO EL CENTINELA,31764961,VERÓNICA NOEMÍ MAURICIO AVILA DE MÉNDEZ,MARÍA SANTOS JUAN MATÍAS,PRIMARIA,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),HUEHUETENANGO
13-26-1227-43,13-044,HUEHUETENANGO,SANTA CRUZ BARILLAS,EORM,ALDEA MALPAIS,57708736,JUANA ALONZO TOMÁS,VALERIA BETZABÉ DELGADO AGUSTÍN,PRIMARIA,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),HUEHUETENANGO
